round,race,driverCode,points
16,Russian,KUB,0.0
16,Russian,RUS,0.0
16,Russian,VET,0.0
16,Russian,RIC,0.0
16,Russian,GRO,0.0
17,Japanese,BOT,25.0
17,Japanese,VET,18.0
17,Japanese,HAM,16.0
17,Japanese,ALB,12.0
17,Japanese,SAI,10.0
17,Japanese,LEC,8.0
17,Japanese,GAS,6.0
17,Japanese,PER,4.0
17,Japanese,STR,2.0
17,Japanese,KVY,1.0
17,Japanese,NOR,0.0
17,Japanese,RAI,0.0
17,Japanese,GRO,0.0
17,Japanese,GIO,0.0
17,Japanese,MAG,0.0
17,Japanese,RUS,0.0
17,Japanese,KUB,0.0
17,Japanese,VER,0.0
17,Japanese,RIC,0.0
17,Japanese,HUL,0.0
18,Mexican,HAM,25.0
18,Mexican,VET,18.0
18,Mexican,BOT,15.0
18,Mexican,LEC,13.0
18,Mexican,ALB,10.0
18,Mexican,VER,8.0
18,Mexican,PER,6.0
18,Mexican,RIC,4.0
18,Mexican,GAS,2.0
18,Mexican,HUL,1.0
18,Mexican,KVY,0.0
18,Mexican,STR,0.0
18,Mexican,SAI,0.0
18,Mexican,GIO,0.0
18,Mexican,MAG,0.0
18,Mexican,RUS,0.0
18,Mexican,GRO,0.0
18,Mexican,KUB,0.0
18,Mexican,RAI,0.0
18,Mexican,NOR,0.0
19,United States,BOT,25.0
19,United States,HAM,18.0
19,United States,VER,15.0
19,United States,LEC,13.0
19,United States,ALB,10.0
19,United States,RIC,8.0
19,United States,NOR,6.0
19,United States,SAI,4.0
19,United States,HUL,2.0
19,United States,PER,1.0
19,United States,RAI,0.0
19,United States,KVY,0.0
19,United States,STR,0.0
19,United States,GIO,0.0
19,United States,GRO,0.0
19,United States,GAS,0.0
19,United States,RUS,0.0
19,United States,MAG,0.0
19,United States,KUB,0.0
19,United States,VET,0.0
20,Brazilian,VER,25.0
20,Brazilian,GAS,18.0
20,Brazilian,SAI,15.0
20,Brazilian,RAI,12.0
20,Brazilian,GIO,10.0
20,Brazilian,RIC,8.0
20,Brazilian,HAM,6.0
20,Brazilian,NOR,4.0
20,Brazilian,PER,2.0
20,Brazilian,KVY,1.0
20,Brazilian,MAG,0.0
20,Brazilian,RUS,0.0
20,Brazilian,GRO,0.0
20,Brazilian,ALB,0.0
20,Brazilian,HUL,0.0
20,Brazilian,KUB,0.0
20,Brazilian,VET,0.0
20,Brazilian,LEC,0.0
20,Brazilian,STR,0.0
20,Brazilian,BOT,0.0
21,Abu Dhabi,HAM,26.0
21,Abu Dhabi,VER,18.0
21,Abu Dhabi,LEC,15.0
21,Abu Dhabi,BOT,12.0
21,Abu Dhabi,VET,10.0
21,Abu Dhabi,ALB,8.0
21,Abu Dhabi,PER,6.0
21,Abu Dhabi,NOR,4.0
21,Abu Dhabi,KVY,2.0
21,Abu Dhabi,SAI,1.0
21,Abu Dhabi,RIC,0.0
21,Abu Dhabi,HUL,0.0
21,Abu Dhabi,RAI,0.0
21,Abu Dhabi,MAG,0.0
21,Abu Dhabi,GRO,0.0
21,Abu Dhabi,GIO,0.0
21,Abu Dhabi,RUS,0.0
21,Abu Dhabi,GAS,0.0
21,Abu Dhabi,KUB,0.0
21,Abu Dhabi,STR,0.0
